CDK Global| Senior System Engineer | July 2024 - October 2024
Apple Computer| Senior System Administrator | March 2024 - July 2024
SHEIN.com| Staff Site Reliability Engineer | December 2022 - August 2023
3M| Senior Site Reliability Engineer | March 2020  November 2022
TippingPoint| Staff System/Network Architect | March 2012 - June 2019
HostGator.com| Automation and Escalation Engineer | March 2011 - May 2012
RippleTV|  Systems Engineer | October 2008 - Jaunary 2010
Walt Disney Internet Group| Site Reliability Engineer | August 2006 - September 2007
Electronic Clearing House| Senior Linux System Administrator | April 2005 - July 2006
GSI Commerce| HPUX/Windows/Linux System Administrator |  March 2002 -  February 2005
Reachable CEO Enterprises | Freelancer | January 2001 - Present
